time,2018-10-14T12:44:45.816000Z
remaining_size,0.02500000
order_id,5d286a89-7869-4850-af3c-05ca46e1f79a
type,received
price,6222.06000000
side,buy
time,2018-10-14T12:44:45.823000Z
size,0.02500000
order_id,5d286a89-7869-4850-af3c-05ca46e1f79a
type,open
price,6222.06000000
side,buy
time,2018-10-14T12:44:45.823000Z
remaining_size,0.02500000
order_id,9b1856fc-7326-4dc4-9eb9-cf16222beb4b
type,done
price,6235.34000000
side,sell
time,2018-10-14T12:44:45.841000Z
remaining_size,0.00100000
order_id,ac7b86b1-9b52-4635-a60c-2e750b283882
type,received
price,6235.33000000
side,sell
time,2018-10-14T12:44:45.865000Z
size,0.00100000
order_id,ac7b86b1-9b52-4635-a60c-2e750b283882
type,open
price,6235.33000000
side,sell
time,2018-10-14T12:44:45.865000Z
remaining_size,0.00100000
order_id,5d286a89-7869-4850-af3c-05ca46e1f79a
type,done
price,6222.06000000
side,buy
time,2018-10-14T12:44:45.929000Z
remaining_size,0.02500000
order_id,c96e39d3-c7c8-4344-b905-9febd4da702f
type,received
price,6222.03000000
side,buy
time,2018-10-14T12:44:45.936000Z
size,0.02500000
order_id,c96e39d3-c7c8-4344-b905-9febd4da702f
type,open
price,6222.03000000
side,buy
time,2018-10-14T12:44:45.936000Z
remaining_size,0.02500000
order_id,c96e39d3-c7c8-4344-b905-9febd4da702f
type,done
price,6222.03000000
side,buy
time,2018-10-14T12:44:46.028000Z
remaining_size,0.02500000
order_id,d63dee33-03f8-4290-8106-9514d0e3bb7d
type,received
price,6222.04000000
side,buy
time,2018-10-14T12:44:46.034000Z
size,0.02500000
order_id,d63dee33-03f8-4290-8106-9514d0e3bb7d
type,open
price,6222.04000000
side,buy
time,2018-10-14T12:44:46.034000Z
remaining_size,0.02500000
order_id,9c9bdd4e-d838-48e3-b4a7-588b6fd45589
type,done
price,6182.00000000
side,buy
time,2018-10-14T12:44:46.092000Z
remaining_size,0.00454549
order_id,d63dee33-03f8-4290-8106-9514d0e3bb7d
type,done
price,6222.04000000
side,buy
time,2018-10-14T12:44:46.121000Z
remaining_size,0.02500000
order_id,49d8dc73-0992-4725-b0cb-570946fff6ba
type,received
price,6222.05000000
side,buy
time,2018-10-14T12:44:46.130000Z
size,0.02500000
order_id,49d8dc73-0992-4725-b0cb-570946fff6ba
type,open
price,6222.05000000
side,buy
time,2018-10-14T12:44:46.130000Z
remaining_size,0.02500000
order_id,49d8dc73-0992-4725-b0cb-570946fff6ba
type,done
price,6222.05000000
side,buy
time,2018-10-14T12:44:46.257000Z
remaining_size,0.02500000
order_id,a0ef368b-6188-4041-8c5e-dda28b3da212
type,received
price,6222.06000000
side,buy
time,2018-10-14T12:44:46.265000Z
size,0.02500000
order_id,a0ef368b-6188-4041-8c5e-dda28b3da212
type,open
price,6222.06000000
side,buy
time,2018-10-14T12:44:46.265000Z
remaining_size,0.02500000
order_id,ceea1393-2264-405d-a42b-5871b5548c8a
type,received
price,6182.03000000
side,buy
time,2018-10-14T12:44:46.306000Z
size,0.00454549
order_id,ceea1393-2264-405d-a42b-5871b5548c8a
type,open
price,6182.03000000
side,buy
time,2018-10-14T12:44:46.306000Z
remaining_size,0.00454549
order_id,c65e3dc0-5ab3-4154-bddc-e78de20ea3bc
type,received
price,6229.91000000
side,buy
time,2018-10-14T12:44:46.326000Z
size,0.01000000
order_id,c65e3dc0-5ab3-4154-bddc-e78de20ea3bc
type,open
price,6229.91000000
side,buy
time,2018-10-14T12:44:46.326000Z
remaining_size,0.01000000
order_id,c61c54c0-5101-4b7f-90a5-dfc3be02e58b
type,done
price,6230.35000000
side,buy
time,2018-10-14T12:44:46.356000Z
remaining_size,0.01000000
order_id,a0ef368b-6188-4041-8c5e-dda28b3da212
type,done
price,6222.06000000
side,buy
time,2018-10-14T12:44:46.396000Z
remaining_size,0.02500000
order_id,27704fd3-bb6b-4a3c-99c4-0288eff2d516
type,received
price,6222.03000000
side,buy
time,2018-10-14T12:44:46.403000Z
size,0.02500000
